147,72
76,143
147,1
5,143
37,184
108,184
76,1
206,11
5,72
76,72
179,42
3,149
179,113
37,113
147,143
145,7
5,1
74,149
37,42
179,184
108,42
173,57
102,199
72,151
108,113
96,160
74,78
74,7
70,56
102,57
143,9
31,199
1,151
167,18
199,39
145,78
3,78
167,11
173,128
25,160
207,54
3,7
31,128
128,181
207,28
31,57
72,9
174,144
145,149
209,36
1,80
143,80
167,89
153,13
96,18
199,110
57,181
173,199
25,89
143,151
102,128
128,39
129,148
96,153
25,153
167,82
1,9
141,128
72,80
96,89
65,196
57,110
167,160
25,18
57,39
199,181
96,11
201,25
136,54
189,37
167,153
25,11
200,77
192,63
136,28
65,54
25,82
136,196
138,36
136,170
207,196
65,125
207,125
207,99
65,170
128,110
67,178
82,13
207,170
65,28
147,16
96,82
211,59
138,178
209,178
155,21
166,11
136,125
209,107
67,36
82,155
11,13
153,155
65,99
130,167
118,179
136,99
153,84
151,7
201,167
191,43
189,179
192,205
67,107
201,96
147,158
189,108
138,107
121,205
11,155
82,84
76,158
183,43
130,96
192,134
130,25
140,201
189,46
11,84
212,127
203,61
59,25
59,167
147,87
84,163
211,201
95,153
155,163
118,108
118,37
47,179
211,130
121,134
50,205
47,37
76,87
151,10
59,96
50,63
155,92
80,149
166,153
166,82
120,185
5,158
112,185
69,201
151,78
121,63
47,108
50,134
151,149
5,16
13,163
207,65
140,130
118,188
84,92
182,39
175,58
24,153
5,87
206,39
191,185
95,82
183,185
80,78
76,16
9,149
120,114
167,5
191,114
112,114
118,117
189,188
132,203
183,39
69,130
203,203
132,132
183,114
80,152
209,37
136,207
199,57
49,185
189,117
41,185
203,132
80,81
140,59
84,21
111,181
151,81
69,59
47,188
13,92
61,203
151,152
104,200
9,152
210,61
187,49
95,11
135,181
24,82
13,21
201,19
136,136
111,110
9,78
49,114
197,33
41,114
96,147
203,67
209,63
207,207
80,7
24,11
47,117
182,181
207,136
65,207
175,200
112,181
9,7
120,43
40,181
104,129
155,9
135,110
153,11
49,43
61,132
33,200
112,43
41,43
182,110
138,179
64,181
47,46
206,181
175,129
25,147
61,61
167,147
128,199
139,203
96,76
183,181
209,179
118,46
161,12
199,199
9,10
65,65
9,81
112,110
65,136
40,110
132,61
116,191
80,10
138,108
206,110
136,65
41,181
128,128
67,179
130,161
40,39
57,199
126,175
189,38
111,39
68,203
132,209
139,132
138,205
104,58
33,58
64,39
210,203
116,120
45,191
33,129
167,76
25,5
183,110
187,191
209,108
64,110
191,60
25,76
199,128
41,110
59,161
210,132
84,151
163,11
135,39
147,26
201,161
197,175
130,90
203,209
82,153
96,5
67,108
41,39
112,39
209,205
57,128
138,37
68,132
149,35
155,151
153,153
187,120
128,57
193,26
45,120
197,43
126,104
55,175
191,51
201,90
90,154
132,138
138,134
59,90
139,61
205,55
67,37
61,209
161,154
189,180
116,49
191,202
197,104
163,153
84,80
118,180
203,138
57,57
55,104
130,19
147,168
67,205
13,151
82,82
149,177
61,138
120,202
92,153
193,168
76,168
197,185
191,193
209,134
126,33
205,197
78,177
67,134
11,153
122,168
126,185
132,67
161,23
211,51
13,80
161,165
138,63
155,80
19,154
149,1
211,193
47,180
11,82
149,143
153,82
161,83
19,83
120,193
84,9
189,109
191,131
47,109
49,131
21,82
147,5
163,82
147,147
152,165
5,97
68,61
49,202
82,11
7,106
45,49
51,97
90,83
55,114
59,19
147,97
49,122
149,106
185,200
152,23
205,160
193,97
55,33
90,12
61,67
197,114
134,197
118,38
63,126
67,63
120,60
191,122
118,109
19,94
205,126
120,131
92,82
13,9
161,94
90,165
11,11
185,58
76,97
